customer_id,age,gender,city,account_age_days,account_type,preferred_device,preferred_payment_method
C10000,18,Female,Jaipur,473,Standard,Android,Wallet
C10001,41,Female,Hyderabad,328,Basic,Android,UPI
C10002,42,Female,Lucknow,819,Basic,Web,Wallet
C10003,27,Female,Kolkata,1474,Standard,Android,UPI
C10004,36,Male,Mumbai,1762,Standard,Android,UPI
C10005,29,Female,Indore,98,Basic,iOS,Card
C10006,33,Female,Ahmedabad,1032,Basic,Android,UPI
C10007,21,Male,Jaipur,2070,Basic,iOS,Card
C10008,37,Male,Mumbai,1813,Basic,iOS,Net Banking
C10009,18,Female,Hyderabad,2069,Premium,iOS,Wallet
C10010,18,Female,Bengaluru,2106,Basic,Android,UPI
C10011,30,Male,Noida,229,Standard,Android,Card
C10012,29,Male,Kolkata,1507,Standard,Web,Card
C10013,33,Male,Lucknow,1225,Standard,Web,UPI
C10014,25,Female,Hyderabad,1065,Basic,iOS,UPI
C10015,48,Male,Delhi,1760,Standard,Android,Card
C10016,32,Female,Pune,2057,Standard,Android,UPI
C10017,33,Female,Mumbai,1038,Basic,iOS,Card
C10018,33,Male,Lucknow,1437,Basic,Android,UPI
C10019,40,Male,Pune,1068,Standard,Web,Card
C10020,36,Female,Ahmedabad,1409,Standard,Web,UPI
C10021,35,Female,Bengaluru,2135,Basic,Android,UPI
C10022,38,Male,Indore,1790,Standard,Android,Net Banking
C10023,18,Female,Kanpur,530,Basic,Android,UPI
C10024,18,Female,Jaipur,1911,Basic,Android,Card
C10025,30,Female,Delhi,1172,Basic,Android,UPI
C10026,29,Female,Hyderabad,1298,Basic,iOS,UPI
C10027,36,Male,Mumbai,279,Standard,Android,Net Banking
C10028,31,Female,Delhi,995,Basic,Android,UPI
C10029,36,Male,Kolkata,686,Basic,Android,UPI
C10030,20,Male,Ahmedabad,220,Standard,Android,UPI
C10031,31,Female,Indore,1876,Standard,Android,UPI
C10032,19,Male,Bengaluru,310,Standard,Web,Wallet
C10033,34,Female,Bengaluru,1584,Basic,Android,UPI
C10034,18,Male,Hyderabad,1646,Basic,iOS,UPI
C10035,34,Male,Delhi,1358,Premium,Android,UPI
C10036,18,Male,Mumbai,1853,Basic,iOS,UPI
C10037,28,Female,Chennai,277,Basic,Android,Card
C10038,39,Male,Delhi,65,Standard,Android,UPI
C10039,33,Male,Kolkata,1876,Standard,Android,UPI
C10040,18,Female,Hyderabad,427,Premium,iOS,UPI
C10041,25,Female,Lucknow,676,Basic,Android,UPI
C10042,18,Female,Kolkata,1526,Premium,Android,Net Banking
C10043,18,Female,Bengaluru,1190,Basic,Android,Card
C10044,32,Female,Lucknow,465,Standard,iOS,UPI
C10045,36,Male,Jaipur,536,Basic,Android,UPI
C10046,35,Other,Hyderabad,1844,Premium,Android,Card
C10047,36,Female,Bengaluru,1159,Premium,iOS,UPI
C10048,31,Male,Kolkata,2031,Standard,Android,UPI
C10049,29,Male,Delhi,1249,Standard,Android,Wallet
C10050,21,Male,Delhi,1469,Basic,Android,Card
C10051,27,Male,Mumbai,768,Standard,iOS,UPI
C10052,19,Male,Jaipur,94,Basic,Web,UPI
C10053,23,Male,Kolkata,1127,Standard,iOS,Card
C10054,32,Female,Ahmedabad,1614,Basic,iOS,Card
C10055,30,Female,Jaipur,911,Basic,iOS,UPI
C10056,59,Male,Hyderabad,1896,Basic,Android,UPI
C10057,19,Female,Pune,1543,Standard,Web,Net Banking
C10058,30,Female,Delhi,1128,Basic,Android,UPI
C10059,18,Female,Mumbai,1210,Standard,iOS,Card
C10060,28,Male,Kolkata,523,Basic,Android,Net Banking
C10061,28,Female,Hyderabad,1935,Basic,iOS,UPI
C10062,39,Male,Pune,159,Standard,Web,Wallet
C10063,27,Female,Jaipur,137,Basic,Web,UPI
C10064,29,Male,Kolkata,1731,Standard,Web,Card
C10065,27,Male,Chennai,87,Standard,iOS,UPI
C10066,18,Male,Pune,1135,Premium,Android,UPI
