merchant_id,merchant_category,merchant_city,merchant_risk_score
M20000,Electronics,Pune,0.177
M20001,Food Delivery,Hyderabad,0.168
M20002,Travel,Hyderabad,0.271
M20003,Food Delivery,Delhi,0.149
M20004,Gaming,Noida,0.372
M20005,Electronics,Chennai,0.242
M20006,Jewellery,Hyderabad,0.392
M20007,Grocery,Gurugram,0.184
M20008,Electronics,Chennai,0.222
M20009,Grocery,Delhi,0.044
M20010,Fashion,Kolkata,0.099
M20011,Digital Services,Indore,0.246
M20012,Healthcare,Lucknow,0.176
M20013,Travel,Hyderabad,0.257
M20014,Fashion,Jaipur,0.214
M20015,Grocery,Chennai,0.02
M20016,Travel,Hyderabad,0.207
M20017,Electronics,Pune,0.254
M20018,Grocery,Mumbai,0.177
M20019,Healthcare,Bengaluru,0.111
M20020,Utilities,Pune,0.082
M20021,Digital Services,Mumbai,0.263
M20022,Travel,Hyderabad,0.234
M20023,Travel,Lucknow,0.334
M20024,Food Delivery,Kanpur,0.212
M20025,Jewellery,Delhi,0.455
M20026,Electronics,Gurugram,0.33
M20027,Grocery,Hyderabad,0.082
M20028,Gaming,Delhi,0.366
M20029,Travel,Ahmedabad,0.155
M20030,Food Delivery,Mumbai,0.105
M20031,Jewellery,Ahmedabad,0.335
M20032,Jewellery,Kolkata,0.427
M20033,Fashion,Kolkata,0.16
M20034,Gaming,Lucknow,0.379
M20035,Travel,Lucknow,0.274
M20036,Food Delivery,Hyderabad,0.175
M20037,Utilities,Chennai,0.05
M20038,Electronics,Hyderabad,0.204
M20039,Grocery,Pune,0.192
M20040,Gaming,Chennai,0.32
M20041,Fashion,Bengaluru,0.163
M20042,Electronics,Hyderabad,0.333
M20043,Grocery,Pune,0.092
M20044,Digital Services,Jaipur,0.203
M20045,Healthcare,Mumbai,0.2
M20046,Utilities,Pune,0.06
M20047,Food Delivery,Gurugram,0.208
M20048,Grocery,Hyderabad,0.121
M20049,Digital Services,Mumbai,0.3
M20050,Electronics,Lucknow,0.329
M20051,Gaming,Delhi,0.326
M20052,Food Delivery,Kolkata,0.152
M20053,Electronics,Hyderabad,0.374
M20054,Travel,Gurugram,0.305
M20055,Food Delivery,Jaipur,0.177
M20056,Gaming,Jaipur,0.376
M20057,Utilities,Pune,0.081
M20058,Grocery,Delhi,0.067
M20059,Healthcare,Delhi,0.177
M20060,Gaming,Mumbai,0.32
M20061,Utilities,Pune,0.063
M20062,Fashion,Kolkata,0.166
M20063,Gaming,Delhi,0.279
M20064,Food Delivery,Lucknow,0.109
M20065,Fashion,Bengaluru,0.131
M20066,Grocery,Delhi,0.041
M20067,Food Delivery,Ahmedabad,0.069
M20068,Utilities,Pune,0.084
M20069,Fashion,Delhi,0.211
M20070,Healthcare,Lucknow,0.101
M20071,Healthcare,Mumbai,0.056
M20072,Utilities,Delhi,0.055
M20073,Grocery,Jaipur,0.12
M20074,Food Delivery,Chennai,0.176
M20075,Digital Services,Hyderabad,0.298
M20076,Electronics,Delhi,0.296
M20077,Grocery,Mumbai,0.173
M20078,Food Delivery,Hyderabad,0.101
