feature,feature_value,transactions,fraud_transactions,fraud_rate_pct,fraud_value
night_transaction,0,206408,2429,1.1767954730436805,4288826.9399999995
night_transaction,1,68592,1812,2.641707487753674,3165173.69
device_anomaly,0,269540,4018,1.4906878385397344,7053624.76
device_anomaly,1,5460,223,4.084249084249084,400375.87
location_anomaly,0,259849,3522,1.3554025607179554,6163743.38
location_anomaly,1,15151,719,4.745561349085869,1290257.25
payment_anomaly,0,275000,4241,1.5421818181818183,7454000.63
payment_anomaly,1,0,0,,0.0
rapid_transaction,0,274927,4238,1.5415001073012107,7451593.58
rapid_transaction,1,73,3,4.10958904109589,2407.05
amount_anomaly,0,263107,4058,1.5423382882249428,6311507.9399999995
amount_anomaly,1,11893,183,1.5387202556125452,1142492.69
high_risk_merchant,0,257358,3835,1.4901421366345713,6722710.76
high_risk_merchant,1,17642,406,2.301326380228999,731289.8699999999
