column,dtype,missing,unique
transaction_id,object,0,275000
customer_id,object,0,10000
transaction_timestamp,datetime64[ns],0,273766
amount,float64,0,186936
merchant_id,object,0,2000
merchant_category,object,0,10
payment_method,object,0,4
device_type,object,0,3
transaction_city,object,0,15
transaction_status,object,0,3
is_fraud,int64,0,2
fraud_type,object,270759,5
age,int64,0,44
gender,object,0,3
city,object,0,15
account_age_days,int64,0,2145
account_type,object,0,3
preferred_device,object,0,3
preferred_payment_method,object,0,4
merchant_risk_score,float64,0,398
merchant_city,object,0,15
