transaction_city,transactions,fraud_transactions,transaction_value,fraud_value,fraud_rate_pct
Gurugram,6977,141,12020786.78,251290.01,2.0209258993836894
Chandigarh,6253,125,11038935.96,250603.09,1.999040460578922
Noida,8682,159,15464887.87,278528.06,1.8313752591568764
Indore,7276,133,12784496.14,225999.01,1.8279274326553052
Kanpur,10694,175,18770642.62,288941.95,1.6364316439124742
Kolkata,19190,312,34695793.92,615865.4199999999,1.6258467952058364
Jaipur,13419,211,23348236.46,386586.0,1.5723973470452344
Pune,21846,335,38694345.82,614488.49,1.533461503250023
Ahmedabad,16644,254,29332164.83,438483.26,1.5260754626291757
Delhi,32940,494,58306382.56,929865.3600000001,1.4996964177292047
Bengaluru,31186,463,55901423.68,750364.73,1.4846405438337715
Chennai,21891,323,38208351.38,497469.77999999997,1.4754922114110822
Lucknow,13830,204,23821815.11,314056.35,1.475054229934924
Mumbai,37027,538,63742156.87,967076.25,1.452993761309315
Hyderabad,27145,374,47111384.52,644382.87,1.377785964265979
