hour,transactions,fraud_transactions,transaction_value,fraud_value,fraud_rate_pct
1,11537,331,20231332.79,570722.76,2.8690300771431048
0,11356,314,20031027.96,631803.54,2.7650581190560057
3,11371,300,20085723.32,514226.26,2.638290387828687
4,11337,294,19745109.35,469403.13,2.5932786451442182
2,11612,298,20195864.21,521514.85,2.5663107130554597
23,11379,275,19898101.23,457503.15,2.4167325775551456
21,11396,150,19980371.43,261891.84,1.3162513162513163
7,11627,153,20318433.02,247703.84,1.3159026404059517
22,11364,149,19488324.92,277590.86999999994,1.311158042942626
19,11372,147,20143249.93,233838.76,1.2926486106225819
6,11544,146,20157449.52,275233.39,1.2647262647262647
17,11243,142,19790983.67,234951.58000000002,1.263008093925109
8,11496,142,20411248.77,278412.13,1.2352122477383438
9,11539,142,20379107.18,261573.75999999998,1.230609238235549
18,11490,139,20459325.43,226546.12,1.2097476066144472
10,11621,133,20524455.35,216534.49000000002,1.1444798210136822
15,11458,130,20296134.34,219923.78000000003,1.1345784604643043
20,11401,124,19899241.25,217139.48,1.0876238926409965
13,11569,125,20313385.36,239380.63999999998,1.0804736796611634
14,11556,124,20340834.6,216637.50999999998,1.0730356524749047
16,11383,122,19974811.51,198362.65999999997,1.071773697619257
12,11580,124,20433971.42,239349.54,1.0708117443868739
5,11370,120,19909078.36,206435.24,1.0554089709762533
11,11399,117,20234239.6,237321.31,1.0264058250723749
