merchant_category,transactions,fraud_transactions,transaction_value,fraud_value,fraud_rate_pct
Jewellery,9082,243,16522104.3,450043.04000000004,2.675622109667474
Gaming,19803,441,34848499.9,737845.23,2.2269353128313893
Electronics,35296,676,62034207.9,1141968.8199999998,1.915231187669991
Travel,21635,399,37741441.56,695160.68,1.8442338802865728
Digital Services,27443,467,48370255.31,812905.7,1.7017089968297927
Fashion,36975,534,65066843.06,933092.1900000001,1.4442190669371198
Healthcare,14373,177,24936356.16,282026.06,1.2314756835733667
Grocery,46764,561,82389055.58,1061305.6800000002,1.199640749294329
Food Delivery,38358,454,66730839.17,870325.01,1.1835862140883258
Utilities,25271,289,44602201.58,469328.22,1.1436033397966048
